literal	 category	 regex	 rule
pack	CIGARETTE_UNITS		bidirectional
packs	CIGARETTE_UNITS		bidirectional
ppd	CIGARETTE_UNITS		bidirectional
occasionally	FREQUENCY		bidirectional
socially	FREQUENCY		bidirectional
on occasion	FREQUENCY		bidirectional
parties	FREQUENCY		bidirectional
gatherings	FREQUENCY		bidirectional
holidays	FREQUENCY		bidirectional
regularly	FREQUENCY		bidirectional
hourly	FREQUENCY		bidirectional
daily	FREQUENCY		bidirectional
weekly	FREQUENCY		bidirectional
yearly	FREQUENCY		bidirectional
nightly	FREQUENCY		bidirectional
monthly	FREQUENCY		bidirectional
per yr	FREQUENCY		bidirectional
per year	FREQUENCY		bidirectional
per mo	FREQUENCY		bidirectional
per month	FREQUENCY		bidirectional
per wk	FREQUENCY		bidirectional
per week	FREQUENCY		bidirectional
per dy	FREQUENCY		bidirectional
per day	FREQUENCY		bidirectional
year ago	POINT		backward
years ago	POINT		backward
month ago	POINT		backward
months ago	POINT		backward
week ago	POINT		backward
weeks ago	POINT		backward
day ago	POINT		backward
days ago	POINT		backward
for many months	DURATION		backward
for many weeks	DURATION		backward
for many years	DURATION		backward
for years	DURATION		backward
for months	DURATION		backward
for weeks	DURATION		backward
for days	DURATION		backward
a week	FREQUENCY		backward
a year	FREQUENCY		backward
a month	FREQUENCY		backward
a day	FREQUENCY		backward
each wk	FREQUENCY		backward
each week	FREQUENCY		backward
each dy	FREQUENCY		backward
each day	FREQUENCY		backward
each mo	FREQUENCY		backward
each month	FREQUENCY		backward
each yr	FREQUENCY		backward
each year	FREQUENCY		backward
every night	FREQUENCY		backward
every week	FREQUENCY		backward
every day	FREQUENCY		backward
every month	FREQUENCY		backward
each evening	FREQUENCY		backward
every evening	FREQUENCY		backward
each morning	FREQUENCY		backward
every morning	FREQUENCY		backward
continually	FREQUENCY		bidirectional
continuous	FREQUENCY		bidirectional
sometimes	FREQUENCY		bidirectional
at times	FREQUENCY		bidirectional
continuously	FREQUENCY		bidirectional
within the last year	CURRENT		backward
within the year	CURRENT		backward
chronic	CURRENT		forward
pack yr	PACK_YEAR		bidirectional
pack year	PACK_YEAR		bidirectional
long standing	CURRENT		forward
longstanding	CURRENT		forward
currently	CURRENT		forward
continues	CURRENT		forward
current	CURRENT		bidirectional
recently	CURRENT		bidirectional
recent	CURRENT		bidirectional
at present time	CURRENT		bidirectional
presently	CURRENT		bidirectional
now	CURRENT		bidirectional
quitting	CURRENT		bidirectional
this pregnancy	CURRENT		bidirectional
refused	CURRENT		forward
refuses	CURRENT		forward
several months	CURRENT		backward
previous	HISTORICAL		bidirectional
prior	HISTORICAL		bidirectional
in the past	HISTORICAL		bidirectional
former	HISTORICAL		forward
 ex- 	HISTORICAL		forward
 ex 	HISTORICAL		forward
quit	CESSATION		bidirectional
kicked the habit	CESSATION		bidirectional
stopped	CESSATION		bidirectional
discontinued	CESSATION		bidirectional
prior to	CESSATION		bidirectional
until	CESSATION		bidirectional
since	CESSATION		bidirectional
lasting	CESSATION		bidirectional
initially	INITIATION		forward
began	INITIATION		forward
started	INITIATION		forward
first	INITIATION		forward
one	AMOUNT	r'''(1|one)'''	bidirectional
two	AMOUNT	r'''(2|two)'''	bidirectional
three	AMOUNT	r'''(3|three)'''	bidirectional
four	AMOUNT	r'''(4|four)'''	bidirectional
five	AMOUNT	r'''(5|five)'''	bidirectional
