literal	 category	 regex	 rule
tobacco	TOBACCO_CIGARETTES		
tob 	TOBACCO_CIGARETTES		
cigarettes	TOBACCO_CIGARETTES		
cigarette	TOBACCO_CIGARETTES		
cig	TOBACCO_CIGARETTES		
cigs	TOBACCO_CIGARETTES		
nicotine	TOBACCO_CIGARETTES		
weed	TOBACCO_MARIJUANA		
marijuana	TOBACCO_MARIJUANA		
cannabinoid	TOBACCO_MARIJUANA		
cigars	TOBACCO_CIGAR		
cigar	TOBACCO_CIGAR		
pipe 	TOBACCO_PIPE		
cannabis	TOBACCO_MARIJUANA		
smokes	CURRENT_TOBACCO		
smoke	CURRENT_TOBACCO		
smokin	CURRENT_TOBACCO		
smoker	CURRENT_TOBACCO		
packs per day	CURRENT_TOBACCO		
did smoke	PAST_TOBACCO		
smoked	PAST_TOBACCO		
smoking	CURRENT_TOBACCO		
nonsmoker	NO_TOBACCO		
ex smoker	PAST_TOBACCO		
ex-smoker	PAST_TOBACCO		
ecigarette	TOBACCO_ECIGARETTES		
ecig	TOBACCO_ECIGARETTES		
ecigs	TOBACCO_ECIGARETTES		
ecigarettes	TOBACCO_ECIGARETTES		
